Snapshot Minute,Model,Accuracy,Macro F1,Log Loss,Wrong Confidence,Selection Score,Selected
15,Logistic Regression,0.43,0.41446672236145926,1.493042114562241,0.5285368909462395,0.41156571873981845,False
15,Random Forest,0.44,0.4282443455691509,1.3473867699540312,0.4798233350618301,0.4295880583239075,True
15,Gradient Boosting,0.43,0.41303839697413997,1.668282830774505,0.5769130050807474,0.3992112280021189,False
30,Logistic Regression,0.51,0.49941724941724946,2.0428464526494667,0.5797077530934066,0.4246838808013105,False
30,Random Forest,0.51,0.5003950037365218,1.5323499365191924,0.48411860027130066,0.45483881058299147,True
30,Gradient Boosting,0.48,0.4693454767632795,1.871491930719084,0.6109664172298733,0.41698387683960025,False
45,Logistic Regression,0.57,0.5725637546533069,2.4270158143347276,0.5843545924658496,0.4457068920178848,True
45,Random Forest,0.47,0.4726225400972184,1.803736841118254,0.5412870520763051,0.4199179735642565,False
45,Gradient Boosting,0.49,0.47235641438539994,2.376156195816888,0.648537153517815,0.39661241713891093,False
60,Logistic Regression,0.63,0.6155499486029343,3.095520380050962,0.637649177401618,0.4513186291770681,False
60,Random Forest,0.66,0.6522273168212493,2.2152670648113375,0.6300674382800934,0.5002368306660224,True
60,Gradient Boosting,0.62,0.5939882697947214,3.0335191786057916,0.7323103729946979,0.443461001738624,False
75,Logistic Regression,0.7,0.6788942052099948,4.701735697824979,0.6776500120854545,0.45653630742666546,False
75,Random Forest,0.74,0.7234703355393011,2.9046283850915287,0.6617402763468834,0.5164624606696679,True
75,Gradient Boosting,0.69,0.6552988882813924,3.4880224313699686,0.7369979378431757,0.4676214894360434,False
85,Logistic Regression,0.78,0.7696172248803826,5.327056708914257,0.8081827273885566,0.4964891465657612,False
85,Random Forest,0.79,0.779764559102683,3.154086626071178,0.7404974852557893,0.5392446578073176,True
85,Gradient Boosting,0.77,0.7542087542087542,4.104602163191726,0.8082543190603991,0.506128807675259,False
