Model,Accuracy,Macro F1,Log Loss,Mean Confidence,Correct Confidence,Wrong Confidence
Random Forest — Sigmoid,0.6066666666666667,0.5797994869722086,1.7740889992966071,0.6249542284775698,0.6816888752579232,0.5374482478502447
Random Forest — Uncalibrated,0.6,0.5925642972473155,1.855010462492913,0.5857773728557446,0.6402911700101949,0.5040066771240693
Random Forest — Isotonic,0.6133333333333333,0.5836346124162988,5.69018163696499,0.648268624510848,0.7104044169429977,0.5497084020322658
