Snapshot Minute,Variant,Accuracy,Macro F1,Log Loss,Wrong Confidence,Selected,Log Loss Improvement vs Base
15,Uncalibrated,0.46,0.4539641149810641,1.3385063752506041,0.46574145548420387,False,0.0
15,Sigmoid,0.49,0.39641024696813476,1.2692923412754895,0.453815451124368,True,0.06921403397511461
15,Isotonic,0.5,0.4058673469387755,1.4497354904208606,0.49480192490407204,False,-0.11122911517025647
30,Uncalibrated,0.51,0.5111111111111111,1.4287654827903427,0.46770719101198677,False,0.0
30,Sigmoid,0.51,0.42024202420242024,1.3723772169229038,0.46900762043117683,True,0.056388265867438836
30,Isotonic,0.51,0.4641102215444572,1.9527207826977488,0.5020675602286211,False,-0.5239552999074062
45,Uncalibrated,0.56,0.562673644763197,2.3215405530821895,0.5604590721859869,False,0.0
45,Sigmoid,0.54,0.41226622662266227,1.6681763354147818,0.48683283923687914,True,0.6533642176674077
45,Isotonic,0.52,0.4568376068376068,6.106751579635766,0.49045041872492373,False,-3.7852110265535766
60,Uncalibrated,0.66,0.6456516286236428,1.8333423580003463,0.5266458848389273,False,0.0
60,Sigmoid,0.65,0.618124361976821,1.8182398677879386,0.5584414008315396,True,0.015102490212407726
60,Isotonic,0.67,0.6452237981212009,7.133377707427533,0.597027635713945,False,-5.300035349427187
75,Uncalibrated,0.72,0.7069153069153069,2.062002292002814,0.54052784301202,False,0.0
75,Sigmoid,0.7,0.6678398503179479,2.0537709651570393,0.5619394286396179,True,0.008231326845774767
75,Isotonic,0.73,0.7073445073445074,14.187895491006302,0.6085429277117734,False,-12.125893199003487
85,Uncalibrated,0.76,0.7496340431792268,2.1232322366652157,0.5683409645243224,True,0.0
85,Sigmoid,0.76,0.7398540760277421,2.2195354907719524,0.6265233273287469,False,-0.09630325410673679
85,Isotonic,0.78,0.7653988614612076,15.200492656995634,0.6922291454061081,False,-13.077260420330418
