Snapshot Minute,Model,Accuracy,Macro F1,Log Loss,Wrong Confidence,Selection Score,Selected
15,Logistic Regression,0.43,0.4163742690058479,1.3864521523415945,0.5019059542878737,0.42016253805758996,False
15,Random Forest,0.46,0.4539641149810641,1.3385063752506041,0.46574145548420387,0.4446349979349169,True
15,Gradient Boosting,0.42,0.4116037219485495,1.6016542809024648,0.5867309046837914,0.4023898184234521,False
30,Logistic Regression,0.52,0.5128016273849608,1.7741494305318257,0.5497713728168118,0.4533089904852535,False
30,Random Forest,0.51,0.5111111111111111,1.4287654827903427,0.4677071910119868,0.4711371670783526,True
30,Gradient Boosting,0.46,0.42733613924003816,1.8572175801312463,0.6134887961297072,0.4029307943653392,False
45,Logistic Regression,0.56,0.562673644763197,2.3215405530821895,0.5604590721859869,0.4574955052792373,True
45,Random Forest,0.5,0.5022144522144522,1.5983763305128909,0.4928429779815437,0.4548280698847899,False
45,Gradient Boosting,0.54,0.5222973935336847,2.290651340182772,0.6693308725224244,0.4384754392915518,False
60,Logistic Regression,0.59,0.5805555555555556,3.2719463519005902,0.6083295997716376,0.443856356888272,False
60,Random Forest,0.66,0.6456516286236428,1.8333423580003463,0.5266458848389273,0.5314366723671351,True
60,Gradient Boosting,0.61,0.5788081395348837,2.8433999741332543,0.7060987565686678,0.4575977738688187,False
75,Logistic Regression,0.69,0.665114568391629,4.811287425732352,0.6420628606415181,0.4728773909493939,False
75,Random Forest,0.72,0.7069153069153069,2.062002292002814,0.54052784301202,0.5573995978110959,True
75,Gradient Boosting,0.69,0.6529862290133938,3.463269635134653,0.732612647655127,0.48881488936291584,False
85,Logistic Regression,0.77,0.761546499477534,6.621042399004676,0.712324134012227,0.5111048581081489,False
85,Random Forest,0.76,0.7496340431792268,2.1232322366652157,0.5683409645243224,0.5799260658408993,True
85,Gradient Boosting,0.79,0.7746881571745456,4.0982081860670885,0.8402942344873594,0.5463342008734019,False
