Model,Accuracy,Macro F1,Log Loss,Selection Score
Random Forest,0.6,0.5925642972473155,1.855010462492913,0.5217323577955243
Gradient Boosting,0.615,0.5887894050431183,2.2339176208605687,0.5114719737797104
Logistic Regression,0.57,0.568798451872533,2.6927759684880916,0.4796990001344349
